origin_station,destination,time
Pasar Seni (SBK),Alam Megah,76
Merdeka,Alam Megah,72
Bukit Bintang,Alam Megah,70
Tun Razak Exchange (TRX),Alam Megah,68
Cochrane,Alam Megah,66
Maluri (SBK),Alam Megah,62
Taman Pertama,Alam Megah,58
Taman Midah,Alam Megah,87
Taman Mutiara,Alam Megah,84
Taman Connaught,Alam Megah,79
Taman Suntex,Alam Megah,77
Sri Raya,Alam Megah,73
Bandar Tun Hussein Onn,Alam Megah,71
Batu 11 Cheras,Alam Megah,69
Bukit Dukung,Alam Megah,67
Sungai Jernih,Alam Megah,63
Stadium Kajang,Alam Megah,59
Kajang,Alam Megah,88
Gombak,Subang Alam,84
Taman Melati,Subang Alam,81
Wangsa Maju,Subang Alam,77
Sri Rampai,Subang Alam,75
Setiawangsa,Subang Alam,69
Jelatek,Subang Alam,67
Dato' Keramat,Subang Alam,66
Damai,Subang Alam,65
Ampang Park,Subang Alam,63
KLCC,Subang Alam,62
Kampung Baru,Subang Alam,60
Dang Wangi,Subang Alam,58
Masjid Jamek (KJL),Subang Alam,56
Pasar Seni (KJL),Subang Alam,55
KL Sentral (KJL),Subang Alam,52
Bangsar,Subang Alam,50
Abdullah Hukum,Subang Alam,47
Kerinchi,Subang Alam,46
Universiti,Subang Alam,44
Taman Jaya,Subang Alam,40
Asia Jaya,Subang Alam,38
Taman Paramount,Subang Alam,35
Taman Bahagia,Subang Alam,32
Kelana Jaya,Subang Alam,30
Lembah Subang,Subang Alam,27
Ara Damansara,Subang Alam,25
Glenmarie,Subang Alam,22
Subang Jaya,Subang Alam,21
SS 15,Subang Alam,17
SS 18,Subang Alam,15
USJ 7 (KJL),Subang Alam,12
Taipan,Subang Alam,11
Wawasan,Subang Alam,8
USJ 21,Subang Alam,6
Alam Megah,Subang Alam,3
Subang Alam,Subang Alam,0
Putra Heights (KJL),Subang Alam,4
Sungai Buloh,Subang Alam,87
Kampung Selamat,Subang Alam,84
Kwasa Damansara,Subang Alam,79
Kwasa Sentral,Subang Alam,77
Kota Damansara,Subang Alam,73
Surian,Subang Alam,71
Mutiara Damansara,Subang Alam,69
Bandar Utama,Subang Alam,67
TTDI,Subang Alam,63
Phileo Damansara,Subang Alam,59
Pusat Bandar Damansara,Subang Alam,88
Semantan,Subang Alam,85
Muzium Negara,Subang Alam,80
Pasar Seni (SBK),Subang Alam,78
Merdeka,Subang Alam,74
Bukit Bintang,Subang Alam,72
Tun Razak Exchange (TRX),Subang Alam,70
Cochrane,Subang Alam,68
Maluri (SBK),Subang Alam,64
Taman Pertama,Subang Alam,60
Taman Midah,Subang Alam,89
Taman Mutiara,Subang Alam,86
Taman Connaught,Subang Alam,81
Taman Suntex,Subang Alam,79
Sri Raya,Subang Alam,75
Bandar Tun Hussein Onn,Subang Alam,73
Batu 11 Cheras,Subang Alam,71
Bukit Dukung,Subang Alam,69
Sungai Jernih,Subang Alam,65
Stadium Kajang,Subang Alam,61
Kajang,Subang Alam,90
Gombak,Putra Heights (KJL),88
Taman Melati,Putra Heights (KJL),85
Wangsa Maju,Putra Heights (KJL),81
Sri Rampai,Putra Heights (KJL),79
Setiawangsa,Putra Heights (KJL),73
Jelatek,Putra Heights (KJL),71
Dato' Keramat,Putra Heights (KJL),70
Damai,Putra Heights (KJL),69
Ampang Park,Putra Heights (KJL),67
KLCC,Putra Heights (KJL),66
Kampung Baru,Putra Heights (KJL),64
Dang Wangi,Putra Heights (KJL),62
Masjid Jamek (KJL),Putra Heights (KJL),60
Pasar Seni (KJL),Putra Heights (KJL),59
KL Sentral (KJL),Putra Heights (KJL),56
Bangsar,Putra Heights (KJL),54
Abdullah Hukum,Putra Heights (KJL),51
Kerinchi,Putra Heights (KJL),50
Universiti,Putra Heights (KJL),48
Taman Jaya,Putra Heights (KJL),44
Asia Jaya,Putra Heights (KJL),42
Taman Paramount,Putra Heights (KJL),39
Taman Bahagia,Putra Heights (KJL),36
Kelana Jaya,Putra Heights (KJL),34
Lembah Subang,Putra Heights (KJL),31
Ara Damansara,Putra Heights (KJL),29
Glenmarie,Putra Heights (KJL),26
Subang Jaya,Putra Heights (KJL),25
SS 15,Putra Heights (KJL),21
SS 18,Putra Heights (KJL),19
USJ 7 (KJL),Putra Heights (KJL),16
Taipan,Putra Heights (KJL),15
Wawasan,Putra Heights (KJL),12
USJ 21,Putra Heights (KJL),10
Alam Megah,Putra Heights (KJL),7
Subang Alam,Putra Heights (KJL),4
Putra Heights (KJL),Putra Heights (KJL),0
Sungai Buloh,Putra Heights (KJL),91
Kampung Selamat,Putra Heights (KJL),88
Kwasa Damansara,Putra Heights (KJL),83
Kwasa Sentral,Putra Heights (KJL),81
Kota Damansara,Putra Heights (KJL),77
Surian,Putra Heights (KJL),75
Mutiara Damansara,Putra Heights (KJL),73
Bandar Utama,Putra Heights (KJL),71
TTDI,Putra Heights (KJL),67
Phileo Damansara,Putra Heights (KJL),63
Pusat Bandar Damansara,Putra Heights (KJL),92
Semantan,Putra Heights (KJL),89
Muzium Negara,Putra Heights (KJL),84
Pasar Seni (SBK),Putra Heights (KJL),82
Merdeka,Putra Heights (KJL),78
Bukit Bintang,Putra Heights (KJL),76
Tun Razak Exchange (TRX),Putra Heights (KJL),74
Cochrane,Putra Heights (KJL),72
Maluri (SBK),Putra Heights (KJL),68
Taman Pertama,Putra Heights (KJL),64
Taman Midah,Putra Heights (KJL),93
Taman Mutiara,Putra Heights (KJL),90
Taman Connaught,Putra Heights (KJL),85
Taman Suntex,Putra Heights (KJL),83
Sri Raya,Putra Heights (KJL),79
Bandar Tun Hussein Onn,Putra Heights (KJL),77
Batu 11 Cheras,Putra Heights (KJL),75
Bukit Dukung,Putra Heights (KJL),73
Sungai Jernih,Putra Heights (KJL),69
Stadium Kajang,Putra Heights (KJL),65
Kajang,Putra Heights (KJL),94
Gombak,Sungai Buloh,66
Taman Melati,Sungai Buloh,63
Wangsa Maju,Sungai Buloh,59
Sri Rampai,Sungai Buloh,57
Setiawangsa,Sungai Buloh,51
Jelatek,Sungai Buloh,49
Dato' Keramat,Sungai Buloh,48
Damai,Sungai Buloh,47
Ampang Park,Sungai Buloh,45
KLCC,Sungai Buloh,44
Kampung Baru,Sungai Buloh,42
Dang Wangi,Sungai Buloh,40
Masjid Jamek (KJL),Sungai Buloh,38
Pasar Seni (KJL),Sungai Buloh,37
KL Sentral (KJL),Sungai Buloh,40
Bangsar,Sungai Buloh,42
Abdullah Hukum,Sungai Buloh,45
Kerinchi,Sungai Buloh,46
Universiti,Sungai Buloh,48
Taman Jaya,Sungai Buloh,52
Asia Jaya,Sungai Buloh,54
Taman Paramount,Sungai Buloh,57
Taman Bahagia,Sungai Buloh,60
Kelana Jaya,Sungai Buloh,62
Lembah Subang,Sungai Buloh,65
Ara Damansara,Sungai Buloh,67
Glenmarie,Sungai Buloh,70
Subang Jaya,Sungai Buloh,71
SS 15,Sungai Buloh,75
SS 18,Sungai Buloh,77
USJ 7 (KJL),Sungai Buloh,80
Taipan,Sungai Buloh,81
Wawasan,Sungai Buloh,84
USJ 21,Sungai Buloh,86
Alam Megah,Sungai Buloh,89
Subang Alam,Sungai Buloh,92
Putra Heights (KJL),Sungai Buloh,96
Sungai Buloh,Sungai Buloh,0
Kampung Selamat,Sungai Buloh,3
Kwasa Damansara,Sungai Buloh,5
Kwasa Sentral,Sungai Buloh,15
Kota Damansara,Sungai Buloh,19
Surian,Sungai Buloh,21
Mutiara Damansara,Sungai Buloh,23
Bandar Utama,Sungai Buloh,25
TTDI,Sungai Buloh,28
Phileo Damansara,Sungai Buloh,31
Pusat Bandar Damansara,Sungai Buloh,34
Semantan,Sungai Buloh,36
Muzium Negara,Sungai Buloh,37
Pasar Seni (SBK),Sungai Buloh,39
Merdeka,Sungai Buloh,41
Bukit Bintang,Sungai Buloh,43
Tun Razak Exchange (TRX),Sungai Buloh,46
Cochrane,Sungai Buloh,49
Maluri (SBK),Sungai Buloh,50
Taman Pertama,Sungai Buloh,54
Taman Midah,Sungai Buloh,56
Taman Mutiara,Sungai Buloh,58
Taman Connaught,Sungai Buloh,61
Taman Suntex,Sungai Buloh,63
Sri Raya,Sungai Buloh,66
Bandar Tun Hussein Onn,Sungai Buloh,68
Batu 11 Cheras,Sungai Buloh,70
Bukit Dukung,Sungai Buloh,73
Sungai Jernih,Sungai Buloh,77
Stadium Kajang,Sungai Buloh,78
Kajang,Sungai Buloh,81
Gombak,Kampung Selamat,64
Taman Melati,Kampung Selamat,61
Wangsa Maju,Kampung Selamat,57
Sri Rampai,Kampung Selamat,55
Setiawangsa,Kampung Selamat,49
Jelatek,Kampung Selamat,47
Dato' Keramat,Kampung Selamat,46
Damai,Kampung Selamat,45
Ampang Park,Kampung Selamat,43
KLCC,Kampung Selamat,42
Kampung Baru,Kampung Selamat,40
Dang Wangi,Kampung Selamat,38
Masjid Jamek (KJL),Kampung Selamat,36
Pasar Seni (KJL),Kampung Selamat,35
KL Sentral (KJL),Kampung Selamat,38
Bangsar,Kampung Selamat,40
Abdullah Hukum,Kampung Selamat,43
Kerinchi,Kampung Selamat,44
Universiti,Kampung Selamat,46
Taman Jaya,Kampung Selamat,50
Asia Jaya,Kampung Selamat,52
Taman Paramount,Kampung Selamat,55
Taman Bahagia,Kampung Selamat,58
Kelana Jaya,Kampung Selamat,60
Lembah Subang,Kampung Selamat,63
Ara Damansara,Kampung Selamat,65
Glenmarie,Kampung Selamat,68
Subang Jaya,Kampung Selamat,69
SS 15,Kampung Selamat,73
SS 18,Kampung Selamat,75
USJ 7 (KJL),Kampung Selamat,78
Taipan,Kampung Selamat,79
Wawasan,Kampung Selamat,82
USJ 21,Kampung Selamat,84
Alam Megah,Kampung Selamat,87
Subang Alam,Kampung Selamat,90
Putra Heights (KJL),Kampung Selamat,94
Sungai Buloh,Kampung Selamat,3
Kampung Selamat,Kampung Selamat,0
Kwasa Damansara,Kampung Selamat,3
Kwasa Sentral,Kampung Selamat,12
Kota Damansara,Kampung Selamat,12
Surian,Kampung Selamat,19
Mutiara Damansara,Kampung Selamat,19
Bandar Utama,Kampung Selamat,18
TTDI,Kampung Selamat,25
Phileo Damansara,Kampung Selamat,28
Pusat Bandar Damansara,Kampung Selamat,31
Semantan,Kampung Selamat,34
Muzium Negara,Kampung Selamat,36
Pasar Seni (SBK),Kampung Selamat,37
Merdeka,Kampung Selamat,39
Bukit Bintang,Kampung Selamat,41
Tun Razak Exchange (TRX),Kampung Selamat,43
Cochrane,Kampung Selamat,46
Maluri (SBK),Kampung Selamat,49
Taman Pertama,Kampung Selamat,50
Taman Midah,Kampung Selamat,54
Taman Mutiara,Kampung Selamat,56
Taman Connaught,Kampung Selamat,58
Taman Suntex,Kampung Selamat,61
Sri Raya,Kampung Selamat,63
Bandar Tun Hussein Onn,Kampung Selamat,66
Batu 11 Cheras,Kampung Selamat,68
Bukit Dukung,Kampung Selamat,70
Sungai Jernih,Kampung Selamat,73
Stadium Kajang,Kampung Selamat,77
Kajang,Kampung Selamat,78
Gombak,Kwasa Damansara,62
Taman Melati,Kwasa Damansara,59
Wangsa Maju,Kwasa Damansara,55
Sri Rampai,Kwasa Damansara,53
Setiawangsa,Kwasa Damansara,47
Jelatek,Kwasa Damansara,45
Dato' Keramat,Kwasa Damansara,44
Damai,Kwasa Damansara,43
Ampang Park,Kwasa Damansara,41
KLCC,Kwasa Damansara,40
Kampung Baru,Kwasa Damansara,38
Dang Wangi,Kwasa Damansara,36
Masjid Jamek (KJL),Kwasa Damansara,34
Pasar Seni (KJL),Kwasa Damansara,33
KL Sentral (KJL),Kwasa Damansara,36
Bangsar,Kwasa Damansara,38
Abdullah Hukum,Kwasa Damansara,41
Kerinchi,Kwasa Damansara,42
Universiti,Kwasa Damansara,44
Taman Jaya,Kwasa Damansara,48
Asia Jaya,Kwasa Damansara,50
Taman Paramount,Kwasa Damansara,53
Taman Bahagia,Kwasa Damansara,56
Kelana Jaya,Kwasa Damansara,58
Lembah Subang,Kwasa Damansara,61
Ara Damansara,Kwasa Damansara,63
Glenmarie,Kwasa Damansara,66
Subang Jaya,Kwasa Damansara,67
SS 15,Kwasa Damansara,71
SS 18,Kwasa Damansara,73
USJ 7 (KJL),Kwasa Damansara,76
Taipan,Kwasa Damansara,77
Wawasan,Kwasa Damansara,80
USJ 21,Kwasa Damansara,82
Alam Megah,Kwasa Damansara,85
Subang Alam,Kwasa Damansara,88
Putra Heights (KJL),Kwasa Damansara,92
Sungai Buloh,Kwasa Damansara,5
Kampung Selamat,Kwasa Damansara,3
Kwasa Damansara,Kwasa Damansara,0
Kwasa Sentral,Kwasa Damansara,4
Kota Damansara,Kwasa Damansara,7
Surian,Kwasa Damansara,10
Mutiara Damansara,Kwasa Damansara,13
Bandar Utama,Kwasa Damansara,15
TTDI,Kwasa Damansara,18
Phileo Damansara,Kwasa Damansara,25
Pusat Bandar Damansara,Kwasa Damansara,28
Semantan,Kwasa Damansara,31
Muzium Negara,Kwasa Damansara,34
Pasar Seni (SBK),Kwasa Damansara,36
Merdeka,Kwasa Damansara,37
Bukit Bintang,Kwasa Damansara,39
Tun Razak Exchange (TRX),Kwasa Damansara,41
Cochrane,Kwasa Damansara,43
Maluri (SBK),Kwasa Damansara,46
Taman Pertama,Kwasa Damansara,49
Taman Midah,Kwasa Damansara,50
Taman Mutiara,Kwasa Damansara,54
Taman Connaught,Kwasa Damansara,56
Taman Suntex,Kwasa Damansara,58
Sri Raya,Kwasa Damansara,61
Bandar Tun Hussein Onn,Kwasa Damansara,63
Batu 11 Cheras,Kwasa Damansara,66
Bukit Dukung,Kwasa Damansara,68
Sungai Jernih,Kwasa Damansara,70
Stadium Kajang,Kwasa Damansara,73
Kajang,Kwasa Damansara,77
Gombak,Kwasa Sentral,59
Taman Melati,Kwasa Sentral,56
Wangsa Maju,Kwasa Sentral,52
Sri Rampai,Kwasa Sentral,50
Setiawangsa,Kwasa Sentral,44
Jelatek,Kwasa Sentral,42
Dato' Keramat,Kwasa Sentral,41
Damai,Kwasa Sentral,40
Ampang Park,Kwasa Sentral,38
KLCC,Kwasa Sentral,37
Kampung Baru,Kwasa Sentral,35
Dang Wangi,Kwasa Sentral,33
Masjid Jamek (KJL),Kwasa Sentral,31
Pasar Seni (KJL),Kwasa Sentral,30
KL Sentral (KJL),Kwasa Sentral,33
Bangsar,Kwasa Sentral,35
Abdullah Hukum,Kwasa Sentral,38
Kerinchi,Kwasa Sentral,39
Universiti,Kwasa Sentral,41
Taman Jaya,Kwasa Sentral,45
Asia Jaya,Kwasa Sentral,47
Taman Paramount,Kwasa Sentral,50
Taman Bahagia,Kwasa Sentral,53
Kelana Jaya,Kwasa Sentral,55
Lembah Subang,Kwasa Sentral,58
Ara Damansara,Kwasa Sentral,60
Glenmarie,Kwasa Sentral,63
Subang Jaya,Kwasa Sentral,64
SS 15,Kwasa Sentral,68
SS 18,Kwasa Sentral,70
USJ 7 (KJL),Kwasa Sentral,73
Taipan,Kwasa Sentral,74
Wawasan,Kwasa Sentral,77
USJ 21,Kwasa Sentral,79
Alam Megah,Kwasa Sentral,82
Subang Alam,Kwasa Sentral,85
Putra Heights (KJL),Kwasa Sentral,89
Sungai Buloh,Kwasa Sentral,15
Kampung Selamat,Kwasa Sentral,8
Kwasa Damansara,Kwasa Sentral,3
Kwasa Sentral,Kwasa Sentral,0
Kota Damansara,Kwasa Sentral,4
Surian,Kwasa Sentral,7
Mutiara Damansara,Kwasa Sentral,10
Bandar Utama,Kwasa Sentral,12
TTDI,Kwasa Sentral,15
Phileo Damansara,Kwasa Sentral,18
Pusat Bandar Damansara,Kwasa Sentral,25
Semantan,Kwasa Sentral,28
Muzium Negara,Kwasa Sentral,31
Pasar Seni (SBK),Kwasa Sentral,34
Merdeka,Kwasa Sentral,36
Bukit Bintang,Kwasa Sentral,37
Tun Razak Exchange (TRX),Kwasa Sentral,39
Cochrane,Kwasa Sentral,41
Maluri (SBK),Kwasa Sentral,43
Taman Pertama,Kwasa Sentral,46
Taman Midah,Kwasa Sentral,49
Taman Mutiara,Kwasa Sentral,50
Taman Connaught,Kwasa Sentral,54
Taman Suntex,Kwasa Sentral,56
Sri Raya,Kwasa Sentral,58
Bandar Tun Hussein Onn,Kwasa Sentral,61
Batu 11 Cheras,Kwasa Sentral,63
Bukit Dukung,Kwasa Sentral,66
Sungai Jernih,Kwasa Sentral,68
Stadium Kajang,Kwasa Sentral,70
Kajang,Kwasa Sentral,73
Gombak,Kota Damansara,56
Taman Melati,Kota Damansara,53
Wangsa Maju,Kota Damansara,49
Sri Rampai,Kota Damansara,47
Setiawangsa,Kota Damansara,41
Jelatek,Kota Damansara,39
Dato' Keramat,Kota Damansara,38
Damai,Kota Damansara,37
Ampang Park,Kota Damansara,35
KLCC,Kota Damansara,34
Kampung Baru,Kota Damansara,32
Dang Wangi,Kota Damansara,30
Masjid Jamek (KJL),Kota Damansara,28
Pasar Seni (KJL),Kota Damansara,27
KL Sentral (KJL),Kota Damansara,30
Bangsar,Kota Damansara,32
Abdullah Hukum,Kota Damansara,35
Kerinchi,Kota Damansara,36
Universiti,Kota Damansara,38
Taman Jaya,Kota Damansara,42
Asia Jaya,Kota Damansara,44
Taman Paramount,Kota Damansara,47
Taman Bahagia,Kota Damansara,50
Kelana Jaya,Kota Damansara,52
Lembah Subang,Kota Damansara,55
Ara Damansara,Kota Damansara,57
Glenmarie,Kota Damansara,60
Subang Jaya,Kota Damansara,61
SS 15,Kota Damansara,65
SS 18,Kota Damansara,67
USJ 7 (KJL),Kota Damansara,70
Taipan,Kota Damansara,71
Wawasan,Kota Damansara,74
USJ 21,Kota Damansara,76
Alam Megah,Kota Damansara,79
Subang Alam,Kota Damansara,82
Putra Heights (KJL),Kota Damansara,86
Sungai Buloh,Kota Damansara,19
Kampung Selamat,Kota Damansara,12
Kwasa Damansara,Kota Damansara,7
Kwasa Sentral,Kota Damansara,5
Kota Damansara,Kota Damansara,0
Surian,Kota Damansara,4
Mutiara Damansara,Kota Damansara,7
Bandar Utama,Kota Damansara,9
TTDI,Kota Damansara,12
Phileo Damansara,Kota Damansara,15
Pusat Bandar Damansara,Kota Damansara,18
Semantan,Kota Damansara,25
Muzium Negara,Kota Damansara,28
Pasar Seni (SBK),Kota Damansara,31
Merdeka,Kota Damansara,34
Bukit Bintang,Kota Damansara,36
Tun Razak Exchange (TRX),Kota Damansara,37
Cochrane,Kota Damansara,39
Maluri (SBK),Kota Damansara,41
Taman Pertama,Kota Damansara,43
Taman Midah,Kota Damansara,46
Taman Mutiara,Kota Damansara,49
Taman Connaught,Kota Damansara,50
Taman Suntex,Kota Damansara,54
Sri Raya,Kota Damansara,56
Bandar Tun Hussein Onn,Kota Damansara,58
Batu 11 Cheras,Kota Damansara,61
Bukit Dukung,Kota Damansara,63
Sungai Jernih,Kota Damansara,66
Stadium Kajang,Kota Damansara,68
Kajang,Kota Damansara,70
Gombak,Surian,53
Taman Melati,Surian,50
Wangsa Maju,Surian,46
Sri Rampai,Surian,44
Setiawangsa,Surian,38
Jelatek,Surian,36
Dato' Keramat,Surian,35
Damai,Surian,34
Ampang Park,Surian,32
KLCC,Surian,31
Kampung Baru,Surian,29
Dang Wangi,Surian,27
Masjid Jamek (KJL),Surian,25
Pasar Seni (KJL),Surian,24
KL Sentral (KJL),Surian,27
Bangsar,Surian,29
Abdullah Hukum,Surian,32
Kerinchi,Surian,33
Universiti,Surian,35
Taman Jaya,Surian,39
Asia Jaya,Surian,41
Taman Paramount,Surian,44
Taman Bahagia,Surian,47
Kelana Jaya,Surian,49
Lembah Subang,Surian,52
Ara Damansara,Surian,54
Glenmarie,Surian,57
Subang Jaya,Surian,58
SS 15,Surian,62
SS 18,Surian,64
USJ 7 (KJL),Surian,67
Taipan,Surian,68
Wawasan,Surian,71
USJ 21,Surian,73
Alam Megah,Surian,76
Subang Alam,Surian,79
Putra Heights (KJL),Surian,83
Sungai Buloh,Surian,21
Kampung Selamat,Surian,14
Kwasa Damansara,Surian,9
Kwasa Sentral,Surian,7
Kota Damansara,Surian,3
Surian,Surian,0
Mutiara Damansara,Surian,4
Bandar Utama,Surian,6
TTDI,Surian,9
Phileo Damansara,Surian,12
Pusat Bandar Damansara,Surian,15
Semantan,Surian,18
Muzium Negara,Surian,25
Pasar Seni (SBK),Surian,28
Merdeka,Surian,31
Bukit Bintang,Surian,34
Tun Razak Exchange (TRX),Surian,36
Cochrane,Surian,37
Maluri (SBK),Surian,39
Taman Pertama,Surian,41
Taman Midah,Surian,43
Taman Mutiara,Surian,46
Taman Connaught,Surian,49
Taman Suntex,Surian,50
Sri Raya,Surian,54
Bandar Tun Hussein Onn,Surian,56
Batu 11 Cheras,Surian,58
Bukit Dukung,Surian,61
Sungai Jernih,Surian,63
Stadium Kajang,Surian,66
Kajang,Surian,68
Gombak,Mutiara Damansara,50
Taman Melati,Mutiara Damansara,47
Wangsa Maju,Mutiara Damansara,43
Sri Rampai,Mutiara Damansara,41
Setiawangsa,Mutiara Damansara,35
Jelatek,Mutiara Damansara,33
Dato' Keramat,Mutiara Damansara,32
Damai,Mutiara Damansara,31
Ampang Park,Mutiara Damansara,29
KLCC,Mutiara Damansara,28
Kampung Baru,Mutiara Damansara,26
Dang Wangi,Mutiara Damansara,24
Masjid Jamek (KJL),Mutiara Damansara,22
Pasar Seni (KJL),Mutiara Damansara,21
KL Sentral (KJL),Mutiara Damansara,24
Bangsar,Mutiara Damansara,26
Abdullah Hukum,Mutiara Damansara,29
Kerinchi,Mutiara Damansara,30
Universiti,Mutiara Damansara,32
Taman Jaya,Mutiara Damansara,36
Asia Jaya,Mutiara Damansara,38
Taman Paramount,Mutiara Damansara,41
Taman Bahagia,Mutiara Damansara,44
Kelana Jaya,Mutiara Damansara,46
Lembah Subang,Mutiara Damansara,49
Ara Damansara,Mutiara Damansara,51
Glenmarie,Mutiara Damansara,54
Subang Jaya,Mutiara Damansara,55
SS 15,Mutiara Damansara,59
SS 18,Mutiara Damansara,61
USJ 7 (KJL),Mutiara Damansara,64
Taipan,Mutiara Damansara,65
Wawasan,Mutiara Damansara,68
USJ 21,Mutiara Damansara,70
Alam Megah,Mutiara Damansara,73
Subang Alam,Mutiara Damansara,76
Putra Heights (KJL),Mutiara Damansara,80
Sungai Buloh,Mutiara Damansara,23
Kampung Selamat,Mutiara Damansara,16
Kwasa Damansara,Mutiara Damansara,11
Kwasa Sentral,Mutiara Damansara,9
Kota Damansara,Mutiara Damansara,5
Surian,Mutiara Damansara,3
Mutiara Damansara,Mutiara Damansara,0
Bandar Utama,Mutiara Damansara,3
TTDI,Mutiara Damansara,6
Phileo Damansara,Mutiara Damansara,9
Pusat Bandar Damansara,Mutiara Damansara,12
Semantan,Mutiara Damansara,15
Muzium Negara,Mutiara Damansara,18
Pasar Seni (SBK),Mutiara Damansara,25
Merdeka,Mutiara Damansara,28
Bukit Bintang,Mutiara Damansara,31
Tun Razak Exchange (TRX),Mutiara Damansara,34
Cochrane,Mutiara Damansara,36
Maluri (SBK),Mutiara Damansara,37
Taman Pertama,Mutiara Damansara,39
Taman Midah,Mutiara Damansara,41
Taman Mutiara,Mutiara Damansara,43
Taman Connaught,Mutiara Damansara,46
Taman Suntex,Mutiara Damansara,49
Sri Raya,Mutiara Damansara,50
Bandar Tun Hussein Onn,Mutiara Damansara,54
Batu 11 Cheras,Mutiara Damansara,56
Bukit Dukung,Mutiara Damansara,58
Sungai Jernih,Mutiara Damansara,61
Stadium Kajang,Mutiara Damansara,63
Kajang,Mutiara Damansara,66
Gombak,Bandar Utama,48
Taman Melati,Bandar Utama,45
Wangsa Maju,Bandar Utama,41
Sri Rampai,Bandar Utama,39
Setiawangsa,Bandar Utama,33
Jelatek,Bandar Utama,31
Dato' Keramat,Bandar Utama,30
Damai,Bandar Utama,29
Ampang Park,Bandar Utama,27
KLCC,Bandar Utama,26
Kampung Baru,Bandar Utama,24
Dang Wangi,Bandar Utama,22
Masjid Jamek (KJL),Bandar Utama,20
Pasar Seni (KJL),Bandar Utama,19
KL Sentral (KJL),Bandar Utama,22
Bangsar,Bandar Utama,24
Abdullah Hukum,Bandar Utama,27
Kerinchi,Bandar Utama,28
Universiti,Bandar Utama,30
Taman Jaya,Bandar Utama,34
Asia Jaya,Bandar Utama,36
Taman Paramount,Bandar Utama,39
Taman Bahagia,Bandar Utama,42
Kelana Jaya,Bandar Utama,44
Lembah Subang,Bandar Utama,47
Ara Damansara,Bandar Utama,49
Glenmarie,Bandar Utama,52
Subang Jaya,Bandar Utama,53
SS 15,Bandar Utama,57
SS 18,Bandar Utama,59
USJ 7 (KJL),Bandar Utama,62
Taipan,Bandar Utama,63
Wawasan,Bandar Utama,66
USJ 21,Bandar Utama,68
Alam Megah,Bandar Utama,71
Subang Alam,Bandar Utama,74
Putra Heights (KJL),Bandar Utama,78
Sungai Buloh,Bandar Utama,25
Kampung Selamat,Bandar Utama,18
Kwasa Damansara,Bandar Utama,13
Kwasa Sentral,Bandar Utama,11
Kota Damansara,Bandar Utama,7
Surian,Bandar Utama,5
Mutiara Damansara,Bandar Utama,3
Bandar Utama,Bandar Utama,0
TTDI,Bandar Utama,4
Phileo Damansara,Bandar Utama,7
Pusat Bandar Damansara,Bandar Utama,9
Semantan,Bandar Utama,12
Muzium Negara,Bandar Utama,15
Pasar Seni (SBK),Bandar Utama,18
Merdeka,Bandar Utama,25
Bukit Bintang,Bandar Utama,28
Tun Razak Exchange (TRX),Bandar Utama,31
Cochrane,Bandar Utama,34
Maluri (SBK),Bandar Utama,36
Taman Pertama,Bandar Utama,37
Taman Midah,Bandar Utama,39
Taman Mutiara,Bandar Utama,41
Taman Connaught,Bandar Utama,43
Taman Suntex,Bandar Utama,46
Sri Raya,Bandar Utama,49
Bandar Tun Hussein Onn,Bandar Utama,50
Batu 11 Cheras,Bandar Utama,54
Bukit Dukung,Bandar Utama,56
Sungai Jernih,Bandar Utama,58
Stadium Kajang,Bandar Utama,61
Kajang,Bandar Utama,63
Gombak,TTDI,45
Taman Melati,TTDI,42
Wangsa Maju,TTDI,38
Sri Rampai,TTDI,36
Setiawangsa,TTDI,30
Jelatek,TTDI,28
Dato' Keramat,TTDI,27
Damai,TTDI,26
Ampang Park,TTDI,24
KLCC,TTDI,23
Kampung Baru,TTDI,21
Dang Wangi,TTDI,19
Masjid Jamek (KJL),TTDI,17
Pasar Seni (KJL),TTDI,16
KL Sentral (KJL),TTDI,19
Bangsar,TTDI,21
Abdullah Hukum,TTDI,24
Kerinchi,TTDI,25
Universiti,TTDI,27
Taman Jaya,TTDI,31
Asia Jaya,TTDI,33
Taman Paramount,TTDI,36
Taman Bahagia,TTDI,39
Kelana Jaya,TTDI,41
Lembah Subang,TTDI,44
Ara Damansara,TTDI,46
Glenmarie,TTDI,49
Subang Jaya,TTDI,50
SS 15,TTDI,54
SS 18,TTDI,56
USJ 7 (KJL),TTDI,59
Taipan,TTDI,60
Wawasan,TTDI,63
USJ 21,TTDI,65
Alam Megah,TTDI,68
Subang Alam,TTDI,71
Putra Heights (KJL),TTDI,75
Sungai Buloh,TTDI,28
Kampung Selamat,TTDI,21
Kwasa Damansara,TTDI,16
Kwasa Sentral,TTDI,14
Kota Damansara,TTDI,10
Surian,TTDI,8
Mutiara Damansara,TTDI,6
Bandar Utama,TTDI,4
TTDI,TTDI,0
Phileo Damansara,TTDI,4
Pusat Bandar Damansara,TTDI,7
Semantan,TTDI,9
Muzium Negara,TTDI,12
Pasar Seni (SBK),TTDI,15
Merdeka,TTDI,18
Bukit Bintang,TTDI,25
Tun Razak Exchange (TRX),TTDI,28
Cochrane,TTDI,31
Maluri (SBK),TTDI,34
Taman Pertama,TTDI,36
Taman Midah,TTDI,37
Taman Mutiara,TTDI,39
Taman Connaught,TTDI,41
Taman Suntex,TTDI,43
